52111503.5648,364418801,1360.02593259583,1510.66266506603,
52111528.4224,365240402,1543.68695652174,1649.64105642257,
52111553.6768,366060995,1888.49759025813,1540.86554621849,
52111579.1104,366881524,1379.57643426807,1511.04921968788,
52111603.6736,367703141,1544.10860132064,1649.37254901961,
52111628.608,369310230,1883.40917588543,1539.86634653862,
52111653.696,370132215,1379.09578938341,1510.93917567027,
52111678.848,370952840,1543.43963639482,1648.68547418968,
52111704.256,371774457,1881.64479890232,1540.050020008,
52111729.792,372595514,1379.13064059686,1510.9443777511,
52111754.176,373417099,1543.77490781237,1648.91356542617,
52111779.0592,374238124,1881.50361032501,1540.14965986395,
52111804.0832,375059709,1378.9618729097,1511.02521008403,
52111829.1584,375880334,1543.00722065003,1648.08083233293,
52111855.296,376701919,1880.44435297144,1539.74429771909,
52111879.296,377522512,1379.31223737244,1510.95918367347,
52111904.3712,378344049,1542.8058657062,1647.96798719488,
52111929.4336,379164626,1880.79807906698,1540.39575830332,
52111954.9312,379986259,1379.1495755081,1511.10444177671,
52111979.5456,380806756,1542.52636995112,1647.51860744298,
